DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,
200,200,26220,7,mm,200,1,26220,,,,,,,,
Frame#,Time,Drone_Left_Front,,Drone_Right_Front,,Drone_Center_Front,,Drone_Center_Back,,Speaker_1,,Speaker_2,,Speaker_3,
Frame,Time,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
2967,14.83,NaN,NaN,NaN,NaN,NaN,NaN,73.66823,-1563.77783,185.64555,-1254.57056,164.98834,-1231.59473,276.06805,-1274.85681
2968,14.835,NaN,NaN,NaN,NaN,NaN,NaN,73.14976,-1562.47839,186.57574,-1254.70361,166.0909,-1231.69995,276.77975,-1275.25098
2969,14.84,NaN,NaN,NaN,NaN,NaN,NaN,72.97003,-1561.39136,187.39743,-1254.62866,166.68758,-1231.53967,277.53256,-1275.66895
2970,14.845,NaN,NaN,NaN,NaN,NaN,NaN,72.69529,-1560.20117,188.20834,-1254.81201,167.47073,-1231.43701,278.35916,-1276.14844
2971,14.85,NaN,NaN,NaN,NaN,NaN,NaN,72.38435,-1559.0592,189.03525,-1254.87073,168.83145,-1231.70715,279.02563,-1276.61853
2972,14.855,NaN,NaN,NaN,NaN,NaN,NaN,72.0909,-1557.8573,189.75206,-1255.0481,169.51785,-1231.59167,279.67783,-1276.90198
2973,14.86,NaN,NaN,NaN,NaN,NaN,NaN,71.8347,-1556.7644,190.54306,-1255.08911,170.32797,-1231.58862,280.37146,-1277.29138
2974,14.865,NaN,NaN,NaN,NaN,NaN,NaN,71.70647,-1555.5675,191.26851,-1255.1759,171.46472,-1231.66467,280.96729,-1277.68176
2975,14.87,NaN,NaN,NaN,NaN,NaN,NaN,71.46511,-1554.45679,192.03841,-1255.20947,172.20433,-1231.44434,281.61151,-1278.01282
2976,14.875,NaN,NaN,NaN,NaN,NaN,NaN,71.3437,-1553.29944,192.78346,-1255.25696,172.85837,-1231.21179,282.42374,-1278.61511
2977,14.88,NaN,NaN,NaN,NaN,NaN,NaN,70.94923,-1552.24072,193.6225,-1255.24756,173.71248,-1231.00708,282.9473,-1278.89954
2978,14.885,NaN,NaN,NaN,NaN,NaN,NaN,70.42797,-1551.00781,194.42429,-1255.25549,174.60921,-1230.92822,283.79126,-1279.38232
2979,14.89,NaN,NaN,NaN,NaN,NaN,NaN,70.17966,-1549.75342,195.33583,-1255.26184,175.3868,-1230.88367,284.47342,-1279.58228
2980,14.895,NaN,NaN,NaN,NaN,NaN,NaN,69.82127,-1548.61255,196.2377,-1255.22083,176.48927,-1230.7655,285.37921,-1279.94128
2981,14.9,NaN,NaN,NaN,NaN,NaN,NaN,69.66306,-1547.48315,197.22049,-1255.20435,177.38385,-1230.58789,286.1351,-1280.0365
2982,14.905,NaN,NaN,NaN,NaN,NaN,NaN,69.13033,-1546.25232,198.21376,-1255.14771,178.46014,-1230.58228,287.03336,-1280.39856
2983,14.91,NaN,NaN,82.93182,-1510.09949,NaN,NaN,68.98685,-1545.11194,199.15939,-1255.07556,179.51558,-1230.49561,287.87726,-1280.67444
2984,14.915,NaN,NaN,82.78119,-1509.02954,NaN,NaN,68.45598,-1543.76208,200.20198,-1255.04114,180.6019,-1230.3075,288.7749,-1281.03137
2985,14.92,NaN,NaN,83.02155,-1508.36279,NaN,NaN,68.35524,-1542.70703,201.27115,-1254.95532,181.6915,-1230.02991,289.72314,-1281.44958
2986,14.925,NaN,NaN,82.71857,-1507.17834,NaN,NaN,68.04826,-1541.57874,202.38071,-1254.82703,182.95363,-1229.8761,290.70709,-1281.68701
2987,14.93,NaN,NaN,82.76988,-1505.8656,NaN,NaN,67.59326,-1540.35339,203.6021,-1254.68518,184.15428,-1229.76843,291.48889,-1281.58032
