Frame,Time,Drone_Angle,Speaker_Angle
510,3.393,87.61424423,25.93646659
511,3.4,87.59056301,26.24808759
512,3.407,87.43256292,26.46321471
513,3.413,87.56444601,26.68949984
514,3.42,87.29667473,26.87335836
515,3.427,87.52413336,27.02908801
516,3.433,87.6222422,27.19488058
517,3.44,87.55869484,27.2966498
518,3.447,87.8160464,27.44543631
519,3.453,87.80255949,27.49958881
520,3.46,87.62090611,27.56638291
521,3.467,87.92321995,27.67136562
522,3.473,88.00217842,27.78668151
523,3.48,87.83083503,27.92608835
524,3.487,87.91965588,28.09948948
525,3.493,87.93305644,28.24235039
526,3.5,87.78453499,28.36568786
527,3.507,87.86047586,28.47983504
528,3.513,88.10585662,28.59639893
529,3.52,87.86164614,28.72916424
530,3.527,87.87450102,28.87998567
531,3.533,87.92197833,29.03283967
532,3.54,87.98799085,29.22314231
533,3.547,87.80317769,29.36713974
534,3.553,87.84818576,29.55136252
535,3.56,87.87924773,29.70274725
536,3.567,88.23612084,29.90977952
537,3.573,87.89132183,30.04130054
538,3.58,87.89686425,30.15732471
539,3.587,88.14455939,30.2983248
540,3.593,87.99995399,30.42661485
541,3.6,87.79367914,30.61325175
542,3.607,87.78027133,30.77653029
543,3.613,88.06843268,31.03964005
544,3.62,88.15380987,31.32923276
545,3.627,88.14760561,31.5686002
546,3.633,87.88069447,31.84638051
547,3.64,87.8774185,32.07708434
548,3.647,88.09892879,32.3179614
549,3.653,88.15474345,32.58272925
550,3.66,87.97338692,32.68966514
551,3.667,88.06494197,32.89806225
552,3.673,88.13575887,33.09441613
553,3.68,88.09562912,33.27785224
554,3.687,87.97506842,33.52395581
555,3.693,88.13753753,33.6756632
556,3.7,88.20391091,33.7820451
557,3.707,88.09453896,33.85254762
558,3.713,88.11181064,33.9175053
559,3.72,88.30345002,33.95383989
560,3.727,88.29725409,33.98294644
561,3.733,88.26346708,33.99076496
562,3.74,88.20034001,33.98187758
563,3.747,88.3270767,33.96704864
564,3.753,88.1930717,33.94662582
565,3.76,88.05600337,33.89986722
566,3.767,88.24820677,33.84412592
567,3.773,88.45204448,33.79621269
568,3.78,88.32909714,33.78008082
569,3.787,88.2863471,33.74802739
570,3.793,88.14147466,33.7256959
571,3.8,88.33247469,33.71920191
572,3.807,88.30470016,33.73586891
573,3.813,88.28164145,33.75412833
574,3.82,88.44880614,33.80113045
575,3.827,88.45604427,33.77759265
576,3.833,88.25869477,33.81331806
577,3.84,88.27997728,33.84280017
578,3.847,88.54258198,33.91345842
579,3.853,88.65027727,33.937206
580,3.86,88.49434487,33.91050142
581,3.867,88.49777318,33.90035742
582,3.873,88.6071488,33.88006471
583,3.88,88.79057062,33.89208405
584,3.887,88.66756082,33.89388385
585,3.893,88.58027221,33.9230488
586,3.9,88.60454934,33.98641857
587,3.907,88.78108906,34.06811673
588,3.913,88.8384012,34.08321555
589,3.92,88.5865045,34.11268877
590,3.927,88.50233847,34.16720881
591,3.933,88.73123304,34.20581387
592,3.94,88.63534543,34.25041731
593,3.947,88.38606406,34.21994935
594,3.953,88.26926388,34.35435248
595,3.96,88.6536605,34.41844762
596,3.967,88.90898602,34.46214142
597,3.973,88.66609607,34.49967825
598,3.98,88.53960419,34.51036646
